ticket_id,category,resolution_time_hours
1001,Account Suspension,140.50535854662957
1002,Data Sync Issue,232.57025035295317
1003,Bug Report,
1004,Account Suspension,85.38578066025582
1005,Performance Issue,66.09511971909852
1006,Subscription Cancellation,149.51515029039035
1007,Bug Report,40.78600757876147
1008,Bug Report,229.88752595126124
1009,Account Suspension,
1010,Payment Problem,
1011,Performance Issue,17.211928254547345
1012,Account Suspension,
1013,Performance Issue,
1014,Performance Issue,
1015,Subscription Cancellation,24.33434047233797
1016,Bug Report,84.03749862277363
1017,Data Sync Issue,120.31462198309099
1018,Subscription Cancellation,122.81883562588452
1019,Subscription Cancellation,92.99607171124538
1020,Performance Issue,157.37099594084992
1021,Feature Request,55.94277423704433
1022,Bug Report,111.45723089872239
1023,Payment Problem,127.21773790271394
1024,Subscription Cancellation,
1025,Data Sync Issue,162.69689268533338
1026,Feature Request,52.52147448972785
1027,Feature Request,27.95314975586267
1028,Payment Problem,
1029,Subscription Cancellation,
1030,Data Sync Issue,75.09080780660679
1031,Bug Report,213.06911853135136
1032,Login Issue,999999.0
1033,Data Sync Issue,999999.0
1034,Payment Problem,124.05110888460653
1035,Feature Request,243.64487549291923
1036,Bug Report,225.32045054659227
1037,Data Sync Issue,105.06215109125559
1038,Login Issue,178.29425705726132
1039,Login Issue,158.72255697510886
1040,Performance Issue,202.11789345194092
1041,Performance Issue,
1042,Account Suspension,161.16308759990636
1043,Payment Problem,183.50546921097526
1044,Subscription Cancellation,-50.0
1045,Data Sync Issue,49.00448924005349
1046,Data Sync Issue,5.0
1047,Subscription Cancellation,103.83558993332653
1048,Account Suspension,163.05253534775773
1049,Feature Request,210.1414231257617
1050,Feature Request,124.44568682518651
1051,Account Suspension,217.71693273427752
1052,Feature Request,999999.0
1053,Performance Issue,17.797053638690727
1054,Data Sync Issue,116.66713806620287
1055,Account Suspension,143.04392693635845
1056,Data Sync Issue,118.03831511435442
1057,Subscription Cancellation,5.0
1058,Login Issue,114.6527976292327
1059,Performance Issue,41.73182996970881
1060,Bug Report,160.18035292980232
1061,Performance Issue,141.9958947658109
1062,Account Suspension,63.60721282035868
1063,Bug Report,89.16798495979839
1064,Login Issue,56.447188686662905
1065,Account Suspension,116.23925416360969
1066,Payment Problem,177.3085392300743
1067,Data Sync Issue,60.856437219867374
1068,Login Issue,150.24279093107066
1069,Data Sync Issue,88.18454289765356
